Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
CTXT11;Lajes Corporativas;12.60;8;0.09;0.39;0.78;1.36;5.53;0.26;0.23;0.46;1.36;-2.58;-2.20;-39.31;115874720.49;39.92;0.32;;;;;97.00;;1
GESE11B;Outros;1520.00;300;12.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;86540717.02;1664.24;0.91;;;;;;;0
SRVD11;Títulos e Val Mob;7.22;37;0.10;1.01;0.00;0.00;0.00;0.00;0.00;0.00;1.01;0.00;1.01;1.01;71653252.73;0.74;9.70;;;;;;;0
RBIR11;Residencial;69.21;29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;146773544.10;96.02;0.72;;;;;;;0
CARE11;Híbrido;3.93;9701;0.00;0.23;0.66;1.36;1.60;0.22;0.23;0.13;1.36;-2.63;-2.41;5.65;292218917.16;8.17;0.48;;;;;;;0
VJFD11;Híbrido;;;0.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;646971334.45;132.68;;;;;;;;0
RBGS11;Shoppings;28.45;5157;0.18;0.62;1.59;2.73;5.12;0.53;0.46;0.43;5.12;-1.90;-1.29;-28.71;97865283.71;90.78;0.31;0.18;0.00;0.18;1.17;13.00;;1
BPML11;Shoppings;64.95;215;0.15;0.23;0.95;2.59;0.00;0.32;0.43;0.00;1.49;-7.36;-7.14;1.82;536943743.35;124.72;0.52;;;;;5.80;;7
TORD11;Outros;8.10;116302;0.17;1.94;3.98;6.33;12.27;1.33;1.06;1.02;6.33;-6.41;-4.59;-3.33;496263415.26;14.16;0.57;0.57;0.34;0.90;11.73;;;0
XPIN11;Outros;82.21;5059;0.61;0.85;2.50;4.74;8.91;0.83;0.79;0.74;5.47;0.34;1.19;-11.53;76843694.07;107.41;0.77;;;;;17.30;12.00;5
IBFF11;Títulos e Val Mob;66.40;1924;0.30;0.44;2.01;4.58;9.52;0.67;0.76;0.79;5.42;7.50;7.98;19.59;48361846.89;72.54;0.92;0.69;-1.95;-1.28;-0.61;;;0
OUJP11;Títulos e Val Mob;96.33;10087;1.25;1.31;4.26;8.50;15.38;1.42;1.42;1.28;11.10;0.86;2.18;16.37;328495960.72;101.00;0.95;1.24;0.26;1.50;10.76;;;0
YUFI11B;Residencial;;;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;4170152.98;105.53;;0.60;-0.01;0.59;6.32;;;0
KNRI11;Híbrido;153.19;16975;0.91;0.59;1.90;3.74;7.27;0.63;0.62;0.61;4.96;13.18;13.85;22.12;3862303758.54;159.88;0.96;0.57;0.06;0.63;5.88;2.00;6.72;20
GCRI11;Títulos e Val Mob;94.56;759;1.25;1.31;4.25;8.67;15.50;1.42;1.45;1.29;9.89;-1.94;-0.66;6.78;98377736.44;98.35;0.96;1.50;-1.03;0.46;1.67;;;0
GCFF11;Títulos e Val Mob;72.38;388;0.76;1.06;3.23;6.29;11.81;1.08;1.05;0.98;7.22;2.74;3.83;-4.31;3096700.62;88.89;0.81;0.88;-2.44;-1.58;-0.77;;;0
MORE11;Títulos e Val Mob;75.21;6302;0.65;0.94;3.30;6.25;11.57;1.10;1.04;0.96;7.17;6.80;7.80;-2.33;204459833.97;88.16;0.85;;;;;;;0
MGCR11;Títulos e Val Mob;90.00;1892;1.35;1.57;4.35;7.99;14.12;1.45;1.33;1.18;9.12;0.30;1.88;6.84;129620889.28;91.13;0.99;;;;;;;0
NAVT11;Títulos e Val Mob;78.79;124;0.85;1.15;3.50;6.84;11.97;1.17;1.14;1.00;7.87;2.37;3.56;9.56;97716626.71;92.67;0.85;;;;;;;0
BLCP11;Outros;88.98;12;0.52;0.61;1.76;3.55;6.62;0.59;0.59;0.55;4.19;-0.05;0.56;10.73;256624475.41;111.76;0.80;;;;;6.20;;2
AFHI11;Títulos e Val Mob;97.99;8836;1.30;1.31;4.08;8.01;15.22;1.36;1.34;1.27;9.29;-0.32;0.98;6.69;287450160.21;95.20;1.03;;;;;;;0
OUFF11;Títulos e Val Mob;67.51;2991;0.75;1.15;3.47;6.65;12.32;1.16;1.11;1.03;7.69;2.54;3.72;7.68;14736238.71;81.04;0.83;;;;;;;0
